ZoneId,Description,RegionId,CountryId,UtmGrid,GridRef,ZoneControlState,DateCapturedUtc,LegionCount,SwarmCount,FacelessCount,LastUpdateDateUtc,Latitude,Longitude
865903,"Ban Paeng",3195,218,"47P","47P1H3S3Q",2,2025-08-03 11:24:51.5030000,517,144156,0,2025-08-06 00:03:01.1500000,14.233330,100.583330
865218,"Ban Bung Lam Nam (1)",3203,218,"47P","47P1H3S3Q",2,2025-08-06 00:05:53.1570000,0,944,0,2025-08-06 00:05:53.1570000,14.216670,100.883330
2225659,"Escanaba",3557,233,"16T","16T1H5S1Q",3,2025-08-05 00:08:50.7130000,0,0,56731,2025-08-06 00:07:55.7330000,45.745250,-87.064580
1945187,"Danville",3555,233,"16S","16S1H2S2Q",3,2014-09-02 02:38:46.5500000,0,0,9558443,2025-08-06 00:09:06.2570000,39.760600,-86.526390
2180054,"Madras",3576,233,"10T","10T1H6S3Q",2,2025-08-06 00:11:12.5400000,0,2183,0,2025-08-06 00:11:34.6170000,44.633450,-121.129490
864896,"Bang Sai",3195,218,"47P","47P1H3S3Q",2,2025-07-20 01:17:37.9800000,1551,659895,0,2025-08-06 00:14:38.0170000,14.212400,100.496570
1865800,"Union",3567,233,"10S","10S1H2S4Q",3,2025-08-04 06:27:46.3170000,0,1200,133215,2025-08-06 00:15:22.0500000,38.321300,-122.309970
2056611,"Grand Boulevard",3554,233,"16T","16T2H5S1Q",2,2024-08-24 16:52:03.6470000,0,46103,0,2025-08-06 00:16:54.5800000,41.813920,-87.617270
852480,"Ban Pak Khlong Sip Ha Hok Wa",3213,218,"47P","47P1H6S1Q",2,2025-02-14 15:25:43.8570000,300,800216,0,2025-08-06 00:17:58.8000000,13.964080,100.929170
865217,"Ban Khlong Paet (3)",3203,218,"47P","47P1H3S3Q",2,2025-08-06 00:19:19.2070000,0,788,0,2025-08-06 00:19:19.2070000,14.216670,100.783330
865910,"Ban Khlong Hok Wa Sai Bon (1)",3195,218,"47P","47P1H3S3Q",2,2025-08-06 00:19:29.0400000,0,788,0,2025-08-06 00:19:29.0400000,14.233330,100.800000
862955,"Ban Khlong Chet (2)",3203,218,"47P","47P1H3S3Q",1,2025-08-06 00:20:51.4000000,788,0,0,2025-08-06 00:20:51.4000000,14.166670,100.750000
863705,"Ban Suan Di",3203,218,"47P","47P1H3S3Q",1,2025-08-06 00:20:54.2630000,781,0,0,2025-08-06 00:20:54.2630000,14.183330,100.750000
2492482,"Schore",2266,167,"31U","31U2H3S1Q",1,2025-08-06 00:20:54.5170000,1070,0,0,2025-08-06 00:20:54.5170000,51.462500,4.000000
864500,"Ban Khlong Hok Wa Sai Bon (2)",3195,218,"47P","47P1H3S3Q",1,2025-08-06 00:20:56.9400000,788,0,0,2025-08-06 00:20:56.9400000,14.200000,100.750000
2492504,"Schorebrug",2266,167,"31U","31U2H3S1Q",1,2025-08-06 00:20:57.4430000,1070,0,0,2025-08-06 00:20:57.4430000,51.463330,4.019440
2491808,"Hansweert",2266,167,"31U","31U2H3S1Q",1,2025-08-06 00:21:01.3430000,1070,0,0,2025-08-06 00:21:01.3430000,51.448330,4.002780
1804042,"Chesdin Manor",3585,233,"18S","18S1H4S1Q",3,2025-08-05 22:55:08.0230000,0,0,23079,2025-08-06 00:23:05.1230000,37.223210,-77.542770
1920415,"Woodland Beach",3537,233,"18S","18S1H2S1Q",3,2025-08-06 00:25:19.4400000,0,0,1067,2025-08-06 00:25:19.4400000,39.333450,-75.474640
1918735,"Commerce Square",3537,233,"18S","18S1H2S1Q",3,2025-08-06 00:25:45.7530000,0,0,1065,2025-08-06 00:25:45.7530000,39.301800,-75.596300
1918507,"Smyrna",3537,233,"18S","18S1H2S1Q",3,2025-08-06 00:25:51.6200000,0,0,1065,2025-08-06 00:25:51.6200000,39.299830,-75.604650
1918046,"West Shore",3537,233,"18S","18S1H2S1Q",3,2025-08-06 00:25:55.8170000,0,0,1060,2025-08-06 00:25:55.8170000,39.290400,-75.608000
1918035,"Millcreek",3537,233,"18S","18S1H2S1Q",3,2025-08-06 00:26:01.5230000,0,0,1060,2025-08-06 00:26:01.5230000,39.290300,-75.618600
2504636,"Little Mill",976,77,"30U","30U2H2S2Q",3,2016-09-11 21:59:38.8130000,0,0,477109,2025-08-06 00:27:46.8630000,51.720000,-2.985280
864501,"Ban Khlong Chet (1)",3203,218,"47P","47P1H3S3Q",1,2025-08-06 00:27:55.0070000,788,0,0,2025-08-06 00:27:55.0070000,14.200000,100.766670
1912612,"Cedar Chase",3537,233,"18S","18S1H2S1Q",1,2024-12-26 04:12:22.3370000,8138,0,0,2025-08-06 00:28:09.4800000,39.195100,-75.552700
867175,"Ban Pak Khlong Sakhli",3195,218,"47P","47P1H3S3Q",1,2013-09-15 17:37:18.4570000,39013,0,0,2025-08-06 00:28:32.9330000,14.266670,100.416670
866514,"Ban Sai Noi",3195,218,"47P","47P1H3S3Q",1,2013-08-05 09:45:46.0430000,56960,0,0,2025-08-06 00:28:37.1070000,14.250000,100.416670
865894,"Ban Sai Yai",3195,218,"47P","47P1H3S3Q",1,2013-09-08 02:55:32.4970000,46515,0,0,2025-08-06 00:28:41.4600000,14.233330,100.416670
865202,"Ban Bang Phlap Phlai",3195,218,"47P","47P1H3S3Q",1,2016-01-06 03:58:06.2030000,39630,0,0,2025-08-06 00:28:46.9230000,14.216670,100.416670
864485,"Ban Khu Salot",3195,218,"47P","47P1H3S3Q",1,2013-09-13 11:35:09.8070000,31706,0,0,2025-08-06 00:28:51.9770000,14.200000,100.416670
12117,"Kurnell",143,13,"56H","56H1H4S2Q",3,2017-03-15 08:22:38.0170000,0,0,1189570,2025-08-06 00:30:05.0470000,-34.016670,151.200000
863695,"Ban Lat Duan",3195,218,"47P","47P1H3S3Q",1,2013-09-07 15:58:07.6200000,34879,0,0,2025-08-06 00:31:28.7500000,14.183330,100.416670
862946,"Ban Ta Chat",3195,218,"47P","47P1H3S3Q",1,2013-09-13 11:34:25.2530000,20778,0,0,2025-08-06 00:31:35.5400000,14.166670,100.416670
862952,"Ban Khlong Yi Siphok",3195,218,"47P","47P1H3S3Q",1,2025-08-06 00:36:54.2230000,996,0,0,2025-08-06 00:36:54.2230000,14.166670,100.666670
1546948,"Lolaville",3549,233,"14S","14S2H6S2Q",3,2015-07-06 02:20:20.6730000,1034,1034,50333722,2025-08-06 00:38:21.4270000,33.097340,-96.805280
1549393,"Lakewood Village",3549,233,"14S","14S2H6S2Q",3,2016-05-28 15:28:34.6230000,0,0,4511256,2025-08-06 00:38:53.1370000,33.142620,-96.969450
1549220,"Camp Dallas",3549,233,"14S","14S2H6S2Q",3,2010-01-01 00:00:00.0000000,0,0,4446190,2025-08-06 00:38:59.2170000,33.139840,-96.988900
866525,"Ban Khao Ngam (1)",3195,218,"47P","47P1H3S3Q",2,2025-08-06 00:40:57.0770000,0,880,0,2025-08-06 00:40:57.0770000,14.250000,100.800000
867193,"Ban Nong Sua",3188,218,"47P","47P1H3S3Q",1,2025-08-06 00:41:23.7670000,661,0,0,2025-08-06 00:41:23.7670000,14.266670,100.850000
