ZoneId,Description,RegionId,CountryId,UtmGrid,GridRef,ZoneControlState,DateCapturedUtc,LegionCount,SwarmCount,FacelessCount,LastUpdateDateUtc,Latitude,Longitude
2085306,"Eastpointe",3557,233,"17T","17T2H1S4Q",1,2013-11-16 21:55:39.0870000,3061392,0,0,2025-02-09 00:01:21.1770000,42.468370,-82.955470
1791876,"Aspen",3585,233,"17S","17S1H6S2Q",3,2025-02-09 00:02:53.8300000,706,0,804,2025-02-09 00:02:53.8300000,37.040980,-78.826680
1788398,"Clarkton",3585,233,"17S","17S1H6S4Q",3,2025-02-09 00:03:07.8570000,0,0,1672,2025-02-09 00:03:07.8570000,36.983200,-78.905840
1779848,"Youngers Store",3585,233,"17S","17S1H6S4Q",3,2025-02-09 00:03:32.7230000,0,0,1046,2025-02-09 00:03:32.7230000,36.835690,-78.967790
1779789,"Meadville",3585,233,"17S","17S1H6S3Q",3,2025-02-09 00:03:36.3130000,0,0,1011,2025-02-09 00:03:36.3130000,36.834580,-79.031960
1782298,"Millstone",3585,233,"17S","17S1H6S3Q",3,2025-02-09 00:03:43.9170000,0,0,2245,2025-02-09 00:03:43.9170000,36.876810,-79.015290
1811780,"Reeds",3585,233,"17S","17S1H6S2Q",3,2025-02-09 00:04:17.2670000,0,0,1900,2025-02-09 00:04:17.2670000,37.337930,-78.403890
1794427,"Simplicity",3585,233,"17S","17S1H6S2Q",3,2025-02-09 00:05:13.1070000,0,0,1047,2025-02-09 00:05:13.1070000,37.079870,-78.424160
2057909,"Cicero",3554,233,"16T","16T2H5S1Q",2,2023-04-20 00:21:51.9530000,0,190884,0,2025-02-09 00:08:33.5230000,41.845590,-87.753940
1738728,"El Mirador",3567,233,"11S","11S1H4S3Q",2,2025-02-09 00:10:25.1770000,128,1005,0,2025-02-09 00:10:25.1770000,36.177730,-119.018430
1739415,"Sierra Heights",3567,233,"11S","11S1H4S3Q",2,2025-02-09 00:10:30.2100000,134,1004,0,2025-02-09 00:10:30.2100000,36.187170,-119.062050
1739049,"Stout",3567,233,"11S","11S1H4S3Q",2,2025-02-09 00:10:32.2170000,136,1003,0,2025-02-09 00:10:32.2170000,36.182730,-119.080380
1740401,"Fayette",3567,233,"11S","11S1H4S3Q",2,2025-02-09 00:10:34.4270000,134,1004,0,2025-02-09 00:10:34.4270000,36.201900,-119.064830
2297688,"Wislikofen",528,43,"32T","32T1H2S1Q",1,2025-02-09 00:10:36.2200000,788,0,0,2025-02-09 00:10:36.2200000,47.558330,8.363890
1740460,"Lindsay",3567,233,"11S","11S1H4S3Q",2,2025-02-09 00:10:36.5270000,136,1003,0,2025-02-09 00:10:36.5270000,36.203010,-119.088160
1740977,"Cairns Corner",3567,233,"11S","11S1H4S3Q",2,2025-02-09 00:10:43.2730000,142,1002,0,2025-02-09 00:10:43.2730000,36.212450,-119.135660
1736622,"Plainview",3567,233,"11S","11S1H4S3Q",2,2025-02-09 00:10:46.7330000,0,1002,0,2025-02-09 00:10:46.7330000,36.144120,-119.134000
1742872,"Lucca",3567,233,"11S","11S1H4S3Q",2,2025-02-09 00:10:59.7500000,136,1003,0,2025-02-09 00:10:59.7500000,36.245230,-119.089830
1413819,"Frame Switch",3549,233,"14R","14R1H3S3Q",1,2025-01-15 00:41:36.8370000,30796,0,0,2025-02-09 00:14:03.2800000,30.559370,-97.461670
2538713,"Grube",713,57,"33U","33U1H4S3Q",2,2025-02-09 00:14:13.3030000,0,1486,0,2025-02-09 00:14:14.7470000,52.433330,12.950000
2538714,"Neu Grube",713,57,"33U","33U1H4S3Q",2,2025-02-09 00:14:22.6130000,0,1821,0,2025-02-09 00:14:24.6600000,52.433330,12.966670
2292490,"Blauen",525,43,"32T","32T1H1S2Q",2,2024-12-18 15:34:31.9630000,0,22064,0,2025-02-09 00:15:04.1600000,47.450000,7.516670
1605684,"Westgate",3567,233,"11S","11S2H1S4Q",3,2016-05-03 13:43:18.6070000,288,0,1112061,2025-02-09 00:17:22.1470000,34.050840,-118.479250
1951023,"North Crows Nest",3555,233,"16S","16S1H2S2Q",3,2023-05-18 12:10:31.7630000,0,0,138911,2025-02-09 00:18:40.9000000,39.865870,-86.163320
