ZoneId,Description,RegionId,CountryId,UtmGrid,GridRef,ZoneControlState,DateCapturedUtc,LegionCount,SwarmCount,FacelessCount,LastUpdateDateUtc,Latitude,Longitude
1572784,"Pinehurst",3539,233,"16S","16S2H6S2Q",3,2013-07-02 17:39:13.2870000,0,0,10484239,2021-07-05 00:01:56.6370000,33.544280,-84.210750
2345249,"Day Creek",3578,233,"10U","10U2H5S4Q",3,2018-12-18 03:28:07.3070000,0,0,8496,2021-07-05 00:03:16.4270000,48.498160,-122.066540
2514093,"Elzbiecin",2438,180,"34U","34U2H3S2Q",2,2021-07-05 00:04:58.4200000,0,1088,0,2021-07-05 00:04:58.4200000,51.926700,23.591080
1626064,"Oak Grove",3547,233,"17S","17S2H3S3Q",1,2021-07-05 00:05:17.1930000,1487,0,0,2021-07-05 00:05:17.1930000,34.351550,-79.542550
1628851,"Brownsville",3547,233,"17S","17S2H3S3Q",1,2014-05-03 16:03:46.0370000,99646,0,0,2021-07-05 00:05:22.6930000,34.392380,-79.592280
1628567,"Mallory",3547,233,"17S","17S2H3S3Q",1,2021-07-05 00:05:30.7730000,1012,0,0,2021-07-05 00:05:30.7730000,34.388490,-79.513110
2516096,"Okczyn",2438,180,"34U","34U2H3S2Q",2,2021-07-05 00:05:34.3600000,0,1087,0,2021-07-05 00:05:34.3600000,51.966670,23.633330
1623699,"Berrys Crossroads",3547,233,"17S","17S2H3S3Q",1,2021-07-05 00:05:43.2330000,986,0,0,2021-07-05 00:05:43.2330000,34.319050,-79.491160
2516485,"Kostomloty",2438,180,"34U","34U2H3S2Q",2,2021-07-05 00:05:51.3400000,0,1087,0,2021-07-05 00:05:51.3400000,51.976370,23.655880
1636089,"Galavon",3547,233,"17S","17S2H3S3Q",1,2021-07-05 00:06:17.0100000,1008,0,0,2021-07-05 00:06:17.0100000,34.497380,-79.451990
2517641,"Kolpinek",2438,180,"34U","34U2H3S2Q",2,2021-07-05 00:06:18.3300000,0,1087,0,2021-07-05 00:06:18.3300000,52.000000,23.633330
2227855,"Casera di Sunio",1366,110,"32T","32T1H6S2Q",1,2021-07-05 00:06:25.5500000,1121,0,661,2021-07-05 00:06:25.5500000,45.800000,11.450000
2517861,"Dobratycze",2438,180,"34U","34U1H6S4Q",2,2021-07-05 00:06:45.9570000,0,1087,0,2021-07-05 00:06:45.9570000,52.005910,23.614940
2227681,"Pove del Grappa",1366,110,"32T","32T1H6S2Q",1,2021-07-05 00:07:10.7170000,799,0,0,2021-07-05 00:07:10.7170000,45.798200,11.729900
2518009,"Lebiedziow Zastawek",2438,180,"34U","34U1H6S4Q",2,2021-07-05 00:07:12.8230000,0,1088,0,2021-07-05 00:07:12.8230000,52.010880,23.564130
2228719,"Solagna",1366,110,"32T","32T1H6S2Q",1,2021-07-05 00:07:17.1370000,786,0,0,2021-07-05 00:07:17.1370000,45.819200,11.715400
2228874,"Campolongo sul Brenta",1366,110,"32T","32T1H6S2Q",1,2021-07-05 00:07:24.2730000,786,0,0,2021-07-05 00:07:24.2730000,45.827100,11.700800
2230465,"Casone di Coston",1366,110,"32T","32T1H6S2Q",1,2021-07-05 00:07:30.9400000,747,0,0,2021-07-05 00:07:30.9400000,45.866670,11.766670
2519134,"Malaszewicze",2438,180,"34U","34U1H6S4Q",2,2021-07-05 00:07:39.9700000,0,1089,0,2021-07-05 00:07:39.9700000,52.033330,23.516670
1972999,"Solomon",3554,233,"16T","16T2H4S4Q",3,2021-07-05 00:07:58.5830000,0,0,1075,2021-07-05 00:07:58.5830000,40.248920,-88.822850
1973394,"Carle Springs",3554,233,"16T","16T2H4S4Q",3,2021-07-05 00:08:03.2530000,0,0,1082,2021-07-05 00:08:03.2530000,40.253650,-88.967020
2519914,"Malaszewicze Male",2438,180,"34U","34U1H6S4Q",2,2021-07-05 00:08:05.9930000,0,1089,0,2021-07-05 00:08:05.9930000,52.050000,23.533330
1950447,"Longview Place",3554,233,"16S","16S1H1S2Q",3,2014-04-27 15:03:58.4800000,0,0,5262500,2021-07-05 00:09:05.1400000,39.851980,-88.947300
1952492,"Larkdale",3554,233,"16S","16S1H1S2Q",3,2014-04-18 14:39:13.2770000,0,0,5288431,2021-07-05 00:09:09.1500000,39.888370,-88.912020
2519915,"Kobylany",2438,180,"34U","34U1H6S4Q",2,2021-07-05 00:09:23.1530000,0,1088,0,2021-07-05 00:09:23.1530000,52.050000,23.566670
2519916,"Polatycze",2438,180,"34U","34U1H6S4Q",2,2021-07-05 00:10:07.8000000,0,1087,0,2021-07-05 00:10:07.8000000,52.050000,23.600000
1994265,"Hamilton Beach",3562,233,"18T","18T2H6S3Q",3,2014-07-24 00:45:47.6030000,2313,0,2085021,2021-07-05 00:10:31.4300000,40.652330,-73.827360
1621293,"Sellers",3547,233,"17S","17S2H3S3Q",1,2021-07-05 00:11:04.1600000,1742,0,0,2021-07-05 00:11:04.1600000,34.283770,-79.472830
1631778,"Bingham",3547,233,"17S","17S2H3S3Q",1,2021-07-05 00:11:13.7800000,1326,0,0,2021-07-05 00:11:13.7800000,34.435160,-79.543110
2346787,"Hamilton",3578,233,"10U","10U2H6S3Q",3,2021-07-05 00:03:05.7100000,0,0,3565,2021-07-05 00:11:20.7700000,48.521500,-121.989310
1640340,"Judson",3547,233,"17S","17S2H3S3Q",1,2021-07-05 00:11:24.7370000,1322,0,0,2021-07-05 00:11:24.7370000,34.558500,-79.468380
2346795,"Cokedale",3578,233,"10U","10U2H5S4Q",3,2021-07-04 16:12:12.8170000,0,0,3044,2021-07-05 00:11:27.1670000,48.522050,-122.172100
2526222,"Wlochy",2440,180,"34U","34U1H5S3Q",2,2019-08-08 13:38:06.7800000,0,765090,0,2021-07-05 00:11:35.4500000,52.179410,20.946120
2524495,"Sokolow",2440,180,"34U","34U1H5S3Q",2,2021-02-09 19:24:27.8900000,0,916590,0,2021-07-05 00:12:09.1900000,52.143920,20.867840
2549919,"Bernau bei Berlin",713,57,"33U","33U1H4S4Q",2,2021-07-01 18:09:28.9830000,0,135386,2514,2021-07-05 00:12:10.4570000,52.679820,13.587080
2524237,"Suchy Las",2440,180,"34U","34U1H5S3Q",2,2019-04-17 06:33:45.2500000,0,995025,0,2021-07-05 00:12:17.7730000,52.135910,20.849650
2627203,"Osdorf",702,57,"32U","32U1H3S3Q",1,2021-07-05 00:13:25.4270000,1153,0,0,2021-07-05 00:13:25.4270000,54.433330,10.016670
2626049,"Wulfshagen",702,57,"32U","32U1H3S3Q",1,2021-07-05 00:14:37.8270000,783,0,0,2021-07-05 00:14:37.8270000,54.400000,10.016670
2034517,"Erlin",3563,233,"17T","17T2H4S1Q",1,2021-07-05 00:14:39.1430000,17700,6023,817,2021-07-05 00:14:43.1070000,41.365890,-83.012420
2626623,"Felm",702,57,"32U","32U1H3S3Q",1,2021-07-05 00:14:48.1100000,672,0,0,2021-07-05 00:14:48.1100000,54.416670,10.050000
2625423,"Blickstedt",702,57,"32U","32U1H3S3Q",1,2021-07-05 00:14:55.8570000,845,0,0,2021-07-05 00:14:55.8600000,54.383330,10.033330
2032872,"Green Creek",3563,233,"17T","17T2H4S1Q",1,2021-07-05 00:15:12.6570000,7169,0,991,2021-07-05 00:15:28.8400000,41.328660,-83.049920
2296605,"Nagytarcsa",1217,100,"34T","34T1H1S2Q",1,2018-08-20 05:07:35.7170000,1393266,0,600,2021-07-05 00:15:35.3000000,47.533330,19.283330
1382894,"Cat Spring",3549,233,"14R","14R1H6S2Q",1,2013-10-26 12:36:24.2270000,4687364,0,0,2021-07-05 00:15:38.8000000,29.845510,-96.325800
2295800,"Cinkota",1222,100,"34T","34T1H1S2Q",1,2017-08-02 13:44:35.0700000,1952161,500,600,2021-07-05 00:15:43.1470000,47.516670,19.233330
2294253,"Rakoscsaba",1222,100,"34T","34T1H1S2Q",1,2017-07-20 16:22:32.4370000,1079507,0,300,2021-07-05 00:15:47.6470000,47.483330,19.283330
1386157,"New Bremen",3549,233,"14R","14R1H6S2Q",1,2013-09-01 23:38:26.5900000,3155153,0,0,2021-07-05 00:15:47.9330000,29.924110,-96.404690
2293807,"Rakoskeresztur",1217,100,"34T","34T1H1S2Q",1,2017-07-19 16:21:51.8130000,1893215,0,300,2021-07-05 00:15:51.7830000,47.473240,19.261780
2293940,"Budapest XVII. keruelet",1222,100,"34T","34T1H1S2Q",1,2018-04-05 17:50:58.1000000,2118015,0,300,2021-07-05 00:15:55.8900000,47.479970,19.253880
