ZoneId,Description,RegionId,CountryId,UtmGrid,GridRef,ZoneControlState,DateCapturedUtc,LegionCount,SwarmCount,FacelessCount,LastUpdateDateUtc,Latitude,Longitude
2210002,"Giavone",1366,110,"32T","32T1H6S2Q",2,2022-12-25 12:52:06.9900000,0,2247,0,2023-01-30 00:01:46.8700000,45.283330,11.333330
2210840,"Cologna Veneta",1366,110,"32T","32T1H6S2Q",2,2021-10-18 18:57:45.0770000,0,10258,0,2023-01-30 00:01:50.6800000,45.310290,11.384400
2210133,"Pressana",1366,110,"32T","32T1H6S2Q",2,2022-12-25 12:52:02.8800000,0,2146,0,2023-01-30 00:01:58.4500000,45.283990,11.404800
2211091,"Sule",1366,110,"32T","32T1H6S2Q",2,2022-01-21 00:29:42.6700000,0,5414,0,2023-01-30 00:02:01.1870000,45.316670,11.350000
2211676,"Bonaldo",1366,110,"32T","32T1H6S2Q",2,2022-01-14 07:16:16.8330000,0,686374,0,2023-01-30 00:02:06.6800000,45.333330,11.333330
2213335,"Volpino",1366,110,"32T","32T1H6S2Q",2,2022-12-25 13:56:37.2630000,0,3406,0,2023-01-30 00:02:14.4500000,45.383330,11.316670
2213543,"Lonigo",1366,110,"32T","32T1H6S2Q",2,2022-02-10 21:07:06.6770000,0,98514,0,2023-01-30 00:02:17.6100000,45.387490,11.389000
2212629,"Alonte",1366,110,"32T","32T1H6S2Q",2,2022-09-09 20:07:02.5470000,0,3541,0,2023-01-30 00:02:20.9530000,45.365890,11.427100
2274032,"Patochnaya",3430,230,"36T","36T1H1S2Q",3,2023-01-30 00:02:57.4170000,0,0,675,2023-01-30 00:02:57.4170000,47.033330,31.833330
2274577,"Balovnoye",3430,230,"36T","36T1H1S2Q",3,2023-01-30 00:03:05.4030000,0,0,662,2023-01-30 00:03:05.4030000,47.050000,31.883330
2275160,"Kir'yakovka",3430,230,"36T","36T1H1S2Q",3,2023-01-30 00:03:16.7770000,0,0,1211,2023-01-30 00:03:16.7770000,47.066670,31.850000
2276379,"Konstantinovka",3430,230,"36T","36T1H1S2Q",3,2023-01-30 00:03:26.3430000,0,100,10857,2023-01-30 00:03:35.1170000,47.100000,31.916670
2215088,"San Martino della Battaglia",1375,110,"32T","32T1H6S1Q",1,2023-01-20 16:33:11.7000000,7941,0,0,2023-01-30 00:04:00.6270000,45.433330,10.600000
2216393,"Sirmione",1375,110,"32T","32T1H6S1Q",1,2023-01-20 16:33:17.1570000,4393,0,0,2023-01-30 00:04:08.3970000,45.468580,10.605180
2215630,"Rivoltella",1375,110,"32T","32T1H6S1Q",1,2023-01-19 00:13:56.5300000,4336,0,0,2023-01-30 00:04:13.9030000,45.450000,10.550000
2216369,"Desenzano del Garda",1375,110,"32T","32T1H6S1Q",1,2023-01-19 00:13:50.3370000,4389,0,0,2023-01-30 00:04:21.6770000,45.467980,10.533980
1907479,"Quince Orchard Knolls",3542,233,"18S","18S1H1S1Q",1,2016-03-15 00:39:51.2470000,114524,0,0,2023-01-30 00:04:30.6070000,39.105660,-77.250260
1907636,"Washingtonian Woods",3542,233,"18S","18S1H1S1Q",1,2016-10-11 11:35:07.2170000,105294,0,0,2023-01-30 00:04:37.4500000,39.108700,-77.222500
1906873,"North Potomac",3542,233,"18S","18S1H1S1Q",1,2016-06-16 19:41:19.4500000,102824,0,0,2023-01-30 00:04:40.3770000,39.095520,-77.237340
1906315,"Big Pines",3542,233,"18S","18S1H1S1Q",1,2016-05-26 18:20:58.0630000,101749,0,0,2023-01-30 00:04:43.4070000,39.084550,-77.226370
1906955,"Hunting Hill",3542,233,"18S","18S1H1S1Q",1,2016-05-26 18:21:14.0200000,102229,0,0,2023-01-30 00:04:46.7930000,39.097050,-77.206930
2352374,"Schonesberg",715,57,"32U","32U2H6S4Q",1,2016-10-19 04:48:36.9770000,35506,300,1117,2023-01-30 00:04:47.6330000,48.633330,11.100000
1905612,"Glen Hills",3542,233,"18S","18S1H1S1Q",1,2016-05-26 20:49:17.3600000,102230,0,0,2023-01-30 00:04:50.0370000,39.073160,-77.201370
2218235,"Soiano del Lago",1375,110,"32T","32T1H6S1Q",1,2022-10-22 08:03:20.1800000,9960,0,0,2023-01-30 00:04:52.5200000,45.527780,10.512680
1906558,"Glenora Hills",3542,233,"18S","18S1H1S1Q",1,2016-04-02 00:47:04.5070000,101959,0,0,2023-01-30 00:04:53.4600000,39.089270,-77.189980
2351575,"Reicherstein",715,57,"32U","32U2H6S4Q",1,2016-10-27 04:23:27.6530000,11170,300,300,2023-01-30 00:04:55.2470000,48.616670,11.016670
