ZoneId,Description,RegionId,CountryId,UtmGrid,GridRef,ZoneControlState,DateCapturedUtc,LegionCount,SwarmCount,FacelessCount,LastUpdateDateUtc,Latitude,Longitude
2446083,"Hirschfeld",704,57,"33U","33U2H1S3Q",3,2023-11-13 00:24:39.8000000,0,0,7944892,2025-11-03 00:01:33.4100000,50.633330,12.466670
1529444,"Wappoo Shores",3547,233,"17S","17S2H5S4Q",1,2025-11-03 00:02:03.6970000,796,0,0,2025-11-03 00:02:03.6970000,32.778790,-80.010920
1529445,"Indigo Point",3547,233,"17S","17S2H5S4Q",1,2025-11-03 00:02:09.9000000,724,0,0,2025-11-03 00:02:09.9000000,32.778790,-80.003700
1529893,"Oak Forest",3547,233,"17S","17S2H6S3Q",1,2025-11-03 00:02:17.9470000,922,0,0,2025-11-03 00:02:17.9470000,32.786570,-79.999540
2536199,"Llanychaiarn",976,77,"30U","30U1H4S4Q",3,2025-11-03 00:02:26.4770000,0,0,1119,2025-11-03 00:02:26.4770000,52.383330,-4.083330
1548513,"Thompson Corner",3547,233,"17S","17S2H6S1Q",1,2025-09-22 05:59:03.3200000,6063,0,0,2025-11-03 00:02:31.1470000,33.127110,-79.584510
2537388,"Penparcau",976,77,"30U","30U1H4S4Q",3,2025-11-03 00:02:38.0100000,0,0,1128,2025-11-03 00:02:38.0100000,52.400600,-4.071980
2537027,"Llanbadarn-fawr",976,77,"30U","30U1H4S4Q",3,2025-11-03 00:02:50.6900000,0,0,1119,2025-11-03 00:02:50.6900000,52.400000,-4.066670
2536866,"Capel Seion",976,77,"30U","30U1H4S4Q",3,2025-11-03 00:02:58.7100000,0,0,1120,2025-11-03 00:02:58.7100000,52.394730,-4.010550
2538549,"Bow Street",976,77,"30U","30U1H4S4Q",3,2025-11-03 00:03:22.8370000,0,0,2317,2025-11-03 00:03:24.2000000,52.433330,-4.033330
2539313,"Elerch",976,77,"30U","30U1H5S3Q",3,2025-11-03 00:03:32.4470000,0,0,1119,2025-11-03 00:03:32.4470000,52.450000,-3.933330
2453037,"Herby Slaskie",2450,180,"34U","34U2H1S3Q",3,2025-11-03 00:04:55.4230000,0,0,1448,2025-11-03 00:04:55.4230000,50.753460,18.884010
2453225,"Pietrzaki",2450,180,"34U","34U2H1S3Q",3,2025-11-02 23:47:29.9130000,0,0,2269,2025-11-03 00:05:02.9100000,50.761380,18.917680
2451347,"Kalina",2450,180,"34U","34U2H1S3Q",3,2025-11-03 00:05:11.2430000,0,0,1047,2025-11-03 00:05:11.2430000,50.728320,18.886180
2451051,"Olszyna",2450,180,"34U","34U2H1S3Q",3,2025-11-03 00:05:20.9370000,0,561,1932,2025-11-03 00:05:20.9370000,50.717750,18.897090
1571680,"Tuxedo Heights",3551,233,"16S","16S2H5S2Q",2,2025-11-03 00:06:11.7230000,0,982,0,2025-11-03 00:06:11.7230000,33.527610,-86.876660
2453030,"Herby",2450,180,"34U","34U2H1S3Q",3,2025-11-03 00:06:14.4700000,0,0,1447,2025-11-03 00:06:14.4700000,50.753180,18.887560
1570806,"Owenton",3551,233,"16S","16S2H5S2Q",2,2025-11-03 00:06:18.8270000,0,852,0,2025-11-03 00:06:18.8270000,33.514830,-86.855550
1571245,"Frenchtown",3551,233,"16S","16S2H5S2Q",2,2025-11-03 00:06:24.0530000,0,873,0,2025-11-03 00:06:24.0530000,33.520660,-86.881380
2540109,"Upper Borth",976,77,"30U","30U1H4S4Q",3,2025-11-03 00:06:29.8130000,0,0,1113,2025-11-03 00:06:29.8130000,52.466670,-4.066670
1570385,"Smithfield",3551,233,"16S","16S2H5S2Q",2,2025-11-03 00:06:31.4030000,0,845,0,2025-11-03 00:06:31.4030000,33.508440,-86.841940
2540110,"Llanfihangel-geneu'r-glyn",976,77,"30U","30U1H4S4Q",3,2025-11-03 00:06:44.4030000,0,0,1114,2025-11-03 00:06:44.4030000,52.466670,-4.016670
1569954,"Elyton",3551,233,"16S","16S2H5S2Q",2,2025-11-03 00:06:47.2600000,0,845,0,2025-11-03 00:06:47.2600000,33.501490,-86.840820
1569184,"Highland Park",3551,233,"16S","16S2H5S2Q",2,2025-11-03 00:06:52.7430000,0,837,0,2025-11-03 00:06:52.7430000,33.489550,-86.816100
1569206,"Glen Iris",3551,233,"16S","16S2H5S2Q",2,2025-11-03 00:06:59.2130000,0,837,0,2025-11-03 00:06:59.2130000,33.489830,-86.811930
1569386,"Richmond Place",3551,233,"16S","16S2H5S2Q",2,2025-11-03 00:07:04.4470000,0,845,0,2025-11-03 00:07:04.4470000,33.492880,-86.811930
1878444,"Latrobe",3567,233,"10S","10S1H3S4Q",2,2015-11-22 16:09:46.3600000,0,4002685,0,2025-11-03 00:13:50.5700000,38.559630,-120.983830
1896350,"Foxhall Terrace",3536,233,"18S","18S1H1S3Q",3,2025-10-28 13:39:31.4370000,0,0,1001233,2025-11-03 00:14:00.3400000,38.914000,-77.073310
1530294,"Brook Green Meadow",3547,233,"17S","17S2H6S3Q",1,2025-11-03 00:14:36.1770000,1298,0,0,2025-11-03 00:14:36.1770000,32.794340,-79.869810
1530894,"Creekside Park",3547,233,"17S","17S2H6S3Q",1,2025-11-03 00:15:13.4570000,517,337,0,2025-11-03 00:15:13.4570000,32.804620,-79.872030
1530789,"The Groves",3547,233,"17S","17S2H6S3Q",1,2025-11-03 00:15:40.8600000,1034,98,0,2025-11-03 00:15:40.8600000,32.802680,-79.884250
1530377,"Millwood",3547,233,"17S","17S2H6S3Q",1,2025-11-03 00:16:01.1400000,1036,0,0,2025-11-03 00:16:01.1400000,32.796010,-79.881200
2121547,"Hinkleyville",3562,233,"18T","18T2H1S1Q",1,2023-12-26 01:40:45.9030000,111154,0,0,2025-11-03 00:16:09.8370000,43.210340,-77.849730
2125899,"Collamer",3562,233,"18T","18T2H1S1Q",1,2014-04-03 15:52:07.9930000,129504,0,0,2025-11-03 00:17:03.1870000,43.297280,-77.813070
1573089,"Vanderbilt",3551,233,"16S","16S2H5S2Q",1,2022-08-28 05:06:43.2500000,367393,900,0,2025-11-03 00:17:09.1000000,33.549830,-86.786930
2128262,"Wautoma Beach",3562,233,"18T","18T2H1S1Q",1,2023-08-22 04:05:14.7600000,108574,0,0,2025-11-03 00:17:15.2470000,43.341450,-77.809180
2129335,"Troutburg",3562,233,"18T","18T2H1S1Q",1,2022-05-25 02:27:12.0370000,108482,0,0,2025-11-03 00:17:47.2900000,43.364500,-77.990020
2122371,"Holley",3562,233,"17T","17T2H3S2Q",1,2023-04-20 14:30:29.7200000,141441,0,0,2025-11-03 00:18:15.4030000,43.226450,-78.026680
2118300,"Honest Hill",3562,233,"17T","17T2H3S2Q",1,2013-10-04 20:59:48.6770000,147437,0,0,2025-11-03 00:18:34.9330000,43.145340,-78.065850
2109943,"Stafford",3562,233,"17T","17T2H3S4Q",1,2014-04-08 03:10:26.1430000,129803,0,0,2025-11-03 00:18:53.6900000,42.981730,-78.073900
2105540,"Linwood",3562,233,"18T","18T2H1S3Q",1,2023-10-13 12:11:00.8170000,8303,0,0,2025-11-03 00:19:45.6930000,42.894780,-77.949170
2104452,"York",3562,233,"18T","18T2H1S3Q",1,2014-06-26 10:27:00.7630000,159787,0,0,2025-11-03 00:19:58.1700000,42.871170,-77.885280
2491770,"Potok",2446,180,"34U","34U2H1S1Q",3,2025-11-03 00:20:24.3970000,0,0,1101,2025-11-03 00:20:24.3970000,51.446770,18.632690
2493155,"Rybnik",2446,180,"34U","34U2H1S1Q",3,2025-11-03 00:20:41.0600000,0,0,1046,2025-11-03 00:20:41.0600000,51.475290,18.582940
2105496,"Fowlerville",3562,233,"18T","18T2H1S3Q",1,2023-12-09 00:28:52.1670000,73555,0,0,2025-11-03 00:23:32.9400000,42.893400,-77.845560
1874699,"Live Oak",3567,233,"10S","10S1H3S3Q",2,2012-10-23 18:13:45.7270000,0,4002034,0,2025-11-03 00:23:42.6170000,38.484080,-121.074110
1879208,"Walltown",3567,233,"10S","10S1H3S3Q",2,2012-10-31 15:17:01.0630000,0,4001484,0,2025-11-03 00:24:13.8830000,38.574070,-121.103830
2492387,"Stanislawow",2446,180,"34U","34U2H1S1Q",3,2025-11-03 00:27:25.4970000,0,0,1045,2025-11-03 00:27:25.4970000,51.458870,18.579600
2492529,"Borowiska",2446,180,"34U","34U2H1S1Q",3,2025-11-03 00:27:32.6470000,0,0,1053,2025-11-03 00:27:32.6470000,51.464660,18.609780
1521880,"Village Hills",3551,233,"16S","16S2H6S3Q",2,2014-06-01 23:11:08.2270000,0,150599,300,2025-11-03 00:28:09.1700000,32.632080,-85.449950
1955433,"Quincy",3554,233,"15S","15S1H3S1Q",1,2019-02-19 04:40:57.4730000,217960105,0,0,2025-11-03 00:29:42.8730000,39.935600,-91.409870
2290985,"Niederrohrdorf",528,43,"32T","32T1H2S1Q",3,2023-01-25 08:48:20.8430000,0,0,11702070,2025-11-03 00:36:35.9430000,47.416670,8.300000
1384683,"Sunny Side",3549,233,"14R","14R1H6S2Q",1,2014-01-04 07:04:25.5730000,11534449,0,0,2025-11-03 00:37:53.9030000,29.888560,-96.069130
2239981,"Lathrop",3557,233,"16T","16T1H2S3Q",1,2018-08-29 19:55:54.9400000,39381,0,5170,2025-11-03 00:40:15.9400000,46.148010,-87.222090
2492492,"Gozdy",2446,180,"34U","34U2H1S1Q",3,2025-11-03 00:41:22.2470000,0,0,3352,2025-11-03 00:41:26.5130000,51.463010,18.602800
2492493,"Nowa Wies",2446,180,"34U","34U2H1S1Q",3,2025-11-03 00:41:30.9200000,0,0,1053,2025-11-03 00:41:30.9200000,51.463010,18.631270
2118865,"Mount Pleasant",3562,233,"18T","18T2H3S1Q",1,2017-06-20 09:31:17.9170000,72178,0,0,2025-11-03 00:45:32.3170000,43.153960,-73.968740
1610938,"North Walter",3551,233,"16S","16S2H2S4Q",1,2025-11-03 00:49:03.3500000,174,0,0,2025-11-03 00:49:03.3500000,34.131490,-86.681940
2186798,"Greilickville",3557,233,"16T","16T1H6S3Q",3,2025-10-15 21:45:51.1530000,300,0,1378,2025-11-03 00:49:18.6630000,44.783060,-85.638690
1529982,"Osceola Oaks",3547,233,"17S","17S2H6S3Q",1,2025-11-03 00:50:07.7100000,1373,934,0,2025-11-03 00:50:07.7100000,32.788230,-79.861470
1530045,"Moultrie Heights",3547,233,"17S","17S2H6S3Q",1,2025-11-03 00:50:20.6030000,1241,412,0,2025-11-03 00:50:20.6030000,32.789340,-79.867860
1530203,"Wragg Borough Homes",3547,233,"17S","17S2H6S3Q",2,2024-12-27 16:31:08.2930000,517,99233,0,2025-11-03 00:50:41.9230000,32.792400,-79.933140
854329,"Ban Thung Tan",3203,218,"47P","47P1H6S1Q",1,2013-09-15 08:00:02.5200000,768696,0,0,2025-11-03 00:50:49.8300000,13.995640,100.563360
854416,"Ban Makham",3203,218,"47P","47P1H6S1Q",1,2013-09-15 07:58:38.2630000,769643,0,0,2025-11-03 00:50:52.9300000,13.998390,100.557360
854433,"Ban Bang Kadi Pathum Thani",3195,218,"47P","47P1H6S1Q",1,2013-09-15 10:29:34.9070000,765498,0,0,2025-11-03 00:50:56.1170000,13.999040,100.549620
854294,"Ban Khlong Lamphu",3203,218,"47P","47P1H6S1Q",1,2013-09-17 03:36:23.3100000,925642,0,0,2025-11-03 00:50:59.1870000,13.994890,100.539750
854234,"Ban Wat Khok",3203,218,"47P","47P1H6S1Q",1,2013-10-16 13:25:46.1030000,622037,0,0,2025-11-03 00:51:02.0930000,13.993140,100.529560
