ZoneId,Description,RegionId,CountryId,UtmGrid,GridRef,ZoneControlState,DateCapturedUtc,LegionCount,SwarmCount,FacelessCount,LastUpdateDateUtc,Latitude,Longitude
1818805,"Menlo Park",3567,233,"10S","10S1H5S2Q",1,2025-05-12 21:31:48.6870000,4096126,0,9461,2026-04-01 00:03:05.3970000,37.453830,-122.182190
1819614,"Menlo Oaks",3567,233,"10S","10S1H5S2Q",1,2024-12-27 15:04:55.4200000,3999637,0,10025,2026-04-01 00:03:11.9500000,37.467500,-122.166940
1819117,"The Willows",3567,233,"10S","10S1H5S2Q",1,2024-12-21 21:09:26.5770000,4070692,0,8992,2026-04-01 00:03:14.4870000,37.460560,-122.154720
1819684,"East Palo Alto",3567,233,"10S","10S1H5S2Q",1,2025-04-07 21:03:18.6170000,3996702,0,10169,2026-04-01 00:03:16.9200000,37.468830,-122.141080
1833745,"San Ramon Village",3567,233,"10S","10S1H6S1Q",2,2024-08-15 22:28:45.8600000,0,3027999,517,2026-04-01 00:03:26.2200000,37.721320,-121.929960
1733841,"Helm Corner",3567,233,"11S","11S1H4S3Q",2,2026-04-01 00:05:50.8100000,0,550,182,2026-04-01 00:05:50.8100000,36.098010,-119.643740
1757923,"Burrel",3567,233,"11S","11S1H4S3Q",3,2025-09-01 21:00:34.4230000,0,825,18022,2026-04-01 00:06:30.4370000,36.488280,-119.985150
1026906,"San Marcos",747,61,"19Q","19Q2H1S2Q",1,2026-04-01 00:06:52.3230000,1182,0,0,2026-04-01 00:06:52.3230000,19.798450,-70.724490
1027665,"Gurapito",747,61,"19Q","19Q2H1S2Q",1,2026-04-01 00:07:41.5430000,954,0,0,2026-04-01 00:07:41.5430000,19.817400,-70.726940
1027309,"Cafemba",747,61,"19Q","19Q2H1S2Q",1,2026-04-01 00:07:47.0300000,1206,0,8,2026-04-01 00:07:47.0300000,19.808760,-70.718920
9328,"Lake Albert",143,13,"55H","55H1H5S4Q",2,2013-03-22 05:37:44.4270000,0,17573808,0,2026-04-01 00:08:22.3530000,-35.166670,147.383330
30630,"Yatala",142,13,"56J","56J1H5S4Q",2,2016-12-29 13:27:23.8130000,2585,1100631,0,2026-04-01 00:08:38.0770000,-27.716670,153.216670
30629,"Beenleigh",142,13,"56J","56J1H5S4Q",2,2016-07-27 00:29:17.7770000,2068,1069215,0,2026-04-01 00:08:47.2700000,-27.716670,153.200000
30668,"Loganholme",142,13,"56J","56J1H5S4Q",2,2016-07-23 23:07:36.3770000,2585,1021798,0,2026-04-01 00:08:53.7270000,-27.700000,153.200000
30699,"Bethania Junction",142,13,"56J","56J1H5S4Q",2,2018-05-08 11:43:33.8630000,3102,3127359,0,2026-04-01 00:08:57.1800000,-27.683330,153.166670
30667,"Waterford",142,13,"56J","56J1H5S4Q",2,2018-06-10 05:32:14.4600000,3102,3118594,0,2026-04-01 00:09:00.1670000,-27.700000,153.150000
30746,"Loganlea",142,13,"56J","56J1H5S4Q",2,2017-05-28 13:03:00.9870000,517,4405924,0,2026-04-01 00:09:12.1670000,-27.666670,153.133330
30745,"Kingston",142,13,"56J","56J1H5S4Q",2,2023-04-05 08:52:01.0300000,1913,4005751,0,2026-04-01 00:09:14.9170000,-27.666670,153.116670
30802,"Logan City",142,13,"56J","56J1H5S4Q",2,2024-06-06 04:45:32.3000000,0,7009082,0,2026-04-01 00:09:18.1730000,-27.639170,153.109440
30552,"Buccan",142,13,"56J","56J1H5S4Q",2,2016-12-28 01:39:51.5900000,2068,1102559,0,2026-04-01 00:09:21.7230000,-27.750000,153.133330
977453,"Palo Blanco",748,61,"19Q","19Q2H1S4Q",1,2026-04-01 00:10:12.3430000,1137,0,0,2026-04-01 00:10:12.3430000,18.233330,-70.316670
977452,"Agua de La Estancia",748,61,"19Q","19Q2H1S4Q",1,2026-04-01 00:10:19.1530000,1136,0,0,2026-04-01 00:10:19.1530000,18.233330,-70.333330
978123,"Sabana Guao",748,61,"19Q","19Q2H1S4Q",1,2026-04-01 00:10:24.3700000,1137,0,0,2026-04-01 00:10:24.3700000,18.250000,-70.316670
978122,"Boca Canasta",748,61,"19Q","19Q2H1S4Q",1,2026-04-01 00:10:28.9530000,1136,0,0,2026-04-01 00:10:28.9530000,18.250000,-70.333330
978121,"El Llano",748,61,"19Q","19Q2H1S4Q",1,2026-04-01 00:10:33.2370000,1134,0,0,2026-04-01 00:10:33.2370000,18.250000,-70.350000
978120,"Sombrero",748,61,"19Q","19Q2H1S4Q",1,2026-04-01 00:10:36.7830000,1132,0,0,2026-04-01 00:10:36.7830000,18.250000,-70.366670
977451,"San Antonio",748,61,"19Q","19Q2H1S4Q",1,2026-04-01 00:10:40.1700000,996,0,0,2026-04-01 00:10:40.1700000,18.233330,-70.400000
977450,"Matanzas",748,61,"19Q","19Q2H1S4Q",1,2026-04-01 00:10:44.3900000,990,0,0,2026-04-01 00:10:44.3900000,18.233330,-70.416670
1714969,"Meadowbrook",3545,233,"17S","17S2H3S2Q",3,2026-02-21 13:14:37.6900000,0,0,10662,2026-04-01 00:13:13.3030000,35.778210,-78.376670
1715099,"Wendell",3545,233,"17S","17S2H3S2Q",3,2026-02-21 13:14:32.6070000,0,0,20662,2026-04-01 00:13:25.3170000,35.780990,-78.369720
1768098,"Alvarado",3585,233,"17S","17S1H5S3Q",3,2022-03-08 17:05:16.1370000,0,0,120379,2026-04-01 00:13:48.9500000,36.650670,-81.886790
1714432,"Holly Lakes",3545,233,"17S","17S2H3S2Q",3,2026-02-21 13:14:49.1000000,0,0,6912,2026-04-01 00:14:51.6800000,35.767930,-78.379170
1728424,"Avenal",3567,233,"10S","10S1H6S4Q",1,2026-04-01 00:16:47.4970000,1292,0,0,2026-04-01 00:16:47.4970000,36.004120,-120.129030
1737111,"Ora",3567,233,"10S","10S1H6S4Q",1,2026-03-31 23:43:01.3600000,14903,0,0,2026-04-01 00:17:19.0500000,36.151340,-120.326540
1844798,"Waldon",3567,233,"10S","10S1H5S2Q",2,2025-02-26 00:31:28.5900000,0,3132436,0,2026-04-01 00:18:59.2930000,37.926310,-122.055520
978829,"Mata Gorda",748,61,"19Q","19Q2H1S4Q",1,2026-04-01 00:21:16.6400000,1137,0,0,2026-04-01 00:21:16.6400000,18.266670,-70.316670
2194061,"Four Corners",3576,233,"10T","10T1H5S4Q",3,2010-01-01 00:00:00.0000000,0,13200,3561677,2026-04-01 00:21:27.9800000,44.927900,-122.983710
2330544,"Sunset Beach",3578,233,"10U","10U2H5S4Q",2,2016-01-31 23:59:39.2070000,0,901792,13500,2026-04-01 00:21:45.5400000,48.214270,-122.534880
